Movie Name,Summary
16. Moana 2,"After receiving an unexpected call from her wayfinding ancestors, Moana must journey to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced."
17. Borderlands,"An infamous bounty hunter returns to her childhood home, the chaotic planet Pandora, and forms an unlikely alliance with a team of misfits to find the missing daughter of the most powerful man in the universe."
18. Mufasa: The Lion King,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for their destiny."
19. Inside Out 2,"A sequel that features Riley entering puberty and experiencing brand new, more complex emotions as a result. As Riley tries to adapt to her teenage years, her old emotions try to adapt to the possibility of being replaced."
20. The Return,"After 20 years Odysseus finally returns to Ithaca, where he finds his wife held prisoner by suitors vying to be king and his son facing death at their hands. To win back his family and all he has lost, Odysseus must rediscover his strength."
21. Red One,"After Santa Claus is kidnapped, the North Pole's Head of Security must team up with a notorious hacker in a globe-trotting, action-packed mission to save Christmas."
22. Despicable Me 4,"Gru, Lucy, Margo, Edith, and Agnes welcome a new member to the family, Gru Jr., who is intent on tormenting his dad. Gru faces a new nemesis in Maxime Le Mal and his girlfriend Valentina, and the family is forced to go on the run."
23. Bad Boys: Ride or Die,"When their late police captain gets linked to drug cartels, wisecracking Miami cops Mike Lowrey and Marcus Burnett embark on a dangerous mission to clear his name."
24. Ghostbusters: Frozen Empire,"When the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second ice age."
25. Transformers One,"The untold origin story of Optimus Prime and Megatron, better known as sworn enemies, but who once were friends bonded like brothers who changed the fate of Cybertron forever."
26. Paddington in Peru,"Paddington returns to Peru to visit his beloved Aunt Lucy, who now resides at the Home for Retired Bears. With the Brown family in tow, a thrilling adventure ensues when a mystery plunges them into an unexpected journey."
27. Godzilla x Kong: The New Empire,"Two ancient titans, Godzilla and Kong, clash in an epic battle as humans unravel their intertwined origins and connection to Skull Island's mysteries."
28. Damsel,"A dutiful damsel agrees to marry a handsome prince, only to find the royal family has recruited her as a sacrifice to repay an ancient debt."
29. River of Blood,Four kayakers take the wrong river into a jungle inhabited by a tribe of merciless cannibals.
30. The Lord of the Rings: The War of the Rohirrim,"A sudden attack by Wulf, a clever and traitorous lord of Rohan seeking vengeance for the death of his father, forces Helm Hammerhand, the King of Rohan, and his people to make a daring last stand in the ancient stronghold of the Hornburg."
31. Kung Fu Panda 4,"After Po is tapped to become the Spiritual Leader of the Valley of Peace, he needs to find and train a new Dragon Warrior, while a wicked sorceress plans to re-summon all the master villains whom Po has vanquished to the spirit realm."
32. Spaceman,"Half a year into his solo mission on the edge of the solar system, an astronaut concerned with the state of his life back on Earth is helped by an ancient creature he discovers in the bowels of his ship."
33. Attack on Titan the Movie: The Last Attack,"The fate of the world hangs in the balance as Eren unleashes the ultimate power of the Titans. With a burning determination to eliminate all who threaten Eldia, he leads an unstoppable army of Colossal Titans towards Marley."
34. Monster Summer,"When a mysterious force begins to disrupt their big summer fun, a group of friends team up with a retired police detective to embark on an adventure to save their island."
35. Atlas,"In a bleak-sounding future, an A.I. soldier has determined that the only way to end war is to end humanity."
36. Uglies,A world in which a compulsory operation wipes out physical differences and makes everyone pretty.
37. Kalki 2898 AD,The future of those in the dystopian city of Kasi is altered when the destined arrival of Lord Vishnu's final avatar launches a war against darkness.
38. Survive,A couple celebrates their son's birthday in the middle of the ocean on their boat. A violent storm hits and it brings up hungry creatures from the depths and they fight for their survival.
39. The Garfield Movie,"After Garfield's unexpected reunion with his long-lost father, ragged alley cat Vic, he and his canine friend Odie are forced from their perfectly pampered lives to join Vic on a risky heist."
40. Night of the Zoopocalypse,A wolf and mountain lion team up when a meteor unleashes a virus turning zoo animals into zombies. They join forces with other survivors to rescue the zoo and stop the deranged mutant leader from spreading the virus.
41. Please Don't Feed the Children,"A gang of orphans travels to the south in quest of a new life after a viral outbreak decimates the adult population of the nation, only to find themselves at the mercy of a psychotic woman who is hiding a perilous secret."
42. Arthur the King,An adventure racer adopts a stray dog named Arthur to join him in an epic endurance race.
43. Solo Leveling: ReAwakening,"Over a decade after 'gates' connecting worlds appeared, awakening 'hunters' with superpowers, weakest hunter Sung Jinwoo encounters a double dungeon and accepts a mysterious quest, becoming the only one able to level up, changing his fate."
44. The Courier,Follows a hustler and his rise to the top of the corruption that surrounded the real estate bubble after the arrival of the euro in Spain.
45. Wallace & Gromit: Vengeance Most Fowl,Top dog Gromit springs into action to save his master when Wallace's high-tech invention goes rogue and he is framed for a series of suspicious crimes.
46. Megamind vs. The Doom Syndicate,"Megamind's former villain team, The Doom Syndicate, has returned. Newly crowned hero Megamind's must now keep up evil appearances until he can assemble his friends to stop his former evil teammates from launching Metro City to the Moon."
47. Rebel Moon - Part Two: The Scargiver,"Kora and surviving warriors prepare to defend Veldt, their new home, alongside its people against the Realm. The warriors face their pasts, revealing their motivations before the Realm's forces arrive to crush the growing rebellion."
48. Descendants: The Rise of Red,"After the Queen of Hearts incites a coup in Auradon, her rebellious daughter, Red, and Cinderella's perfectionist daughter, Chloe, must team up and travel in time to undo the traumatic event that drove a young Queen of Hearts to villainy."
49. My Penguin Friend,"Inspired by a true story; an enchanting adventure about a lost penguin rescued from an oil spill, who transforms the life of a heartbroken fisherman. They soon become unlikely friends, so bonded that even the vast ocean cannot divide them."
50. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,"Tanjiro undergoes rigorous training with the Stone Hashira, Himejima, in his quest to become a Hashira. Meanwhile, Muzan continues to search for Nezuko and Ubuyashiki."
